,low,med,high,,,,,,,,Low,Medium,High,Critical,,,,,,,
0,33,3008,2855,351,,,,,,2000,0,0,1,0,1,0.00%,0.00%,100.00%,0.00%,,
1,163,2515,2181,861,,,,,,2001,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,
2,6,836,1552,1794,,,,,,2002,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,
3,187,2000,1271,193,,,,,,2003,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,
4,37,1277,3699,1848,,,,,,2004,0,1,0,1,2,0.00%,50.00%,0.00%,50.00%,,
5,99,1966,3298,1298,,,,,,2005,0,1,0,0,1,0.00%,100.00%,0.00%,0.00%,,
6,93,2079,1644,727,,,,,,2006,0,1,1,0,2,0.00%,50.00%,50.00%,0.00%,,
7,46,1382,3123,296,,,,,,2007,0,1,0,0,1,0.00%,100.00%,0.00%,0.00%,,
8,10,4495,265,140,,,,,,2008,0,3,2,1,6,0.00%,50.00%,33.30%,16.70%,,
9,93,2166,2713,779,,,,,,2009,0,2,5,0,7,0.00%,28.60%,71.40%,0.00%,,
10,78,1635,1886,646,,,,,20,2010,2,10,24,12,48,4.20%,20.80%,50.00%,25.00%,,
11,147,3077,2393,1218,,,,,,2011,0,6,15,0,21,0.00%,28.60%,71.40%,0.00%,,
12,139,2881,2961,797,,,,,,2012,0,25,15,5,45,0.00%,55.60%,33.30%,11.10%,,
13,47,568,596,605,,,,,,2013,0,5,7,8,20,0.00%,25.00%,35.00%,40.00%,,
14,204,1793,1305,194,,,,,,2014,3,21,24,13,61,4.90%,34.40%,39.30%,21.30%,,
15,51,726,1890,621,,,,,,2015,6,54,73,22,155,3.90%,34.80%,47.10%,14.20%,,
16,102,1455,2132,770,,,,,,2016,187,2278,2713,1041,6219,3.00%,36.60%,43.60%,16.70%,,
17,94,2027,3162,321,,,,,,2017,226,5690,6531,2142,14589,1.50%,39.00%,44.80%,14.70%,,
,,,,,,,,,,2018,162,6143,7491,2580,16376,1.00%,37.50%,45.70%,15.80%,3.82%,-2.18%
,,,,,,,,,,2019,305,7058,7200,2621,17184,1.80%,41.10%,41.90%,15.30%,-9.49%,
,,,,,,,,,,2020,422,7464,7669,2710,18265,2.30%,40.90%,42.00%,14.80%,,
,,,,,,,,,,2021,316,7123,7155,2303,16897,1.90%,42.20%,42.30%,13.60%,,
,,,,,,,,,,,,,,,89900,,,,,,
,low,med,high,critical,,,,low,med,high,critical,,,,0.548920477,,,,,,
Arbitrary Code Execution,292,5062,6983,2188,14525,,Arbitrary Code Execution,2.00%,34.90%,48.10%,15.10%,,,,,,,,,,
XSS/CSRF,115,7297,5115,3232,15759,,XSS/CSRF,0.70%,46.30%,32.50%,20.50%,,,,,,,,,,
Improper Authorization/Authentication,476,7073,6180,2663,16392,,Improper Authorization/Authentication,2.90%,43.10%,37.70%,16.20%,,,,,,,,,,
Privilege Escalation,233,5488,7929,1344,14994,,Privilege Escalation,1.60%,36.60%,52.90%,9.00%,,,,,,,,,,
Null pointer dereference ,33,3008,2855,351,6247,,Null pointer dereference ,0.50%,48.20%,45.70%,5.60%,,,,,,,,,,
Buffer/Integer Overflow,37,1277,3699,1848,6861,,Buffer/Integer Overflow,0.50%,18.60%,53.90%,26.90%,,,,,,,,,,
Signal/Messaging Passing Vulnerability,187,2000,1271,193,3651,,Signal/Messaging Passing Vulnerability,5.10%,54.80%,34.80%,5.30%,,,,,,,,,,
Improper Certificate Validation,163,2515,2181,861,5720,,Improper Certificate Validation,2.80%,44.00%,38.10%,15.10%,,,,,,,,,,
Remote code execution,93,2166,2713,779,5751,,Remote code execution,1.60%,37.70%,47.20%,13.50%,,,,,,,,,,
Overal,1629,35886,38926,13459,89900,,Overal,1.80%,39.90%,43.30%,15.00%,,,,,,,,,,
